,0
gait speed,0.8516115634698725
grip dom,28.18221615514969
grip ndom,25.843648771896724
FI ADL,0.20651072759506495
FI IADL,0.06885103102610021
chair,11.62665047612961
leg raise,2.273742021927454
full tandem,2.0607153031249767
srh,0.4010657767251588
eye,0.3181716798368596
hear,0.4123166127721936
func,0.200894711615274
dias,75.70802029975336
sys,138.02878486055778
pulse,68.46029012732205
trig,0.3807909073653782
crp,0.649655097225133
hdl,1.5448369807949975
ldl,3.293107868872475
glucose,5.096027525805442
igf1,15.400534810428804
hgb,13.987385814078452
fib,3.1396330275229354
fer,4.440909077015903
chol,5.621321428571428
wbc,1.8276237557243538
mch,3.403912479466333
hba1c,5.8010517784680955
vitd,3.764322513761689
height,165.11593485671
bmi,27.773515469119076
alcohol,3.9592480513525907
