,0
gait speed,0.2858969660644158
grip dom,11.221135250800222
grip ndom,10.449477726610942
FI ADL,0.2624798757427618
FI IADL,0.15601768913530314
chair,4.247686273456434
leg raise,0.8255122529042469
full tandem,0.728567365027565
srh,0.27705044373210647
eye,0.20138579359899345
hear,0.28051747440055075
func,0.3416770087008368
dias,12.763235059733463
sys,20.32067618752469
pulse,11.284627453579425
trig,0.4984902528232392
crp,1.134649180176547
hdl,0.4404305890830881
ldl,1.055037103271419
glucose,0.9986956377832736
igf1,5.282760676334409
hgb,1.3805278611453626
fib,0.6816835342298229
fer,0.8716845437511558
chol,1.218066049825439
wbc,0.2857469890266014
mch,0.06411010567020162
hba1c,0.7708910756680496
vitd,0.5201816493131395
height,9.524973064608995
bmi,4.844336399920946
alcohol,2.383971897508118
